,TITLE,REGION,DISTANCE,DIST_TYPE,GAIN,HIGHEST,RATING,RATING_COUNT,REPORT_DATE,REPORT_COUNT,LINK
946,Yelm-Tenino Trail,Olympic Peninsula,29.0,roundtrip,,,0.0,0,2019-04-08,6,https://www.wta.org/go-hiking/hikes/yelm-tenino-trail
947,Upper Twin Lake,Central Cascades,5.0,roundtrip,300.0,,4.0,1,2017-08-11,3,https://www.wta.org/go-hiking/hikes/upper-twin-lake
948,West Tiger No. 1 via Dwight's Way,Issaquah Alps,8.0,roundtrip,2500.0,2948.0,0.0,0,2019-06-25,20,https://www.wta.org/go-hiking/hikes/west-tiger-no-1-via-dwights-way
949,Upper Stehekin Valley Road Trail,Central Cascades,11.4,one-way,1100.0,2400.0,0.0,0,2018-10-27,12,https://www.wta.org/go-hiking/hikes/upper-stehekin-valley-road-trail
950,Windy Peak Loop,North Cascades,14.8,roundtrip,3830.0,8060.0,0.0,0,2019-06-17,2,https://www.wta.org/go-hiking/hikes/windy-peak-loop
951,Wallula Gap - East,Eastern Washington,3.5,trails,428.0,783.0,0.0,0,2019-04-14,5,https://www.wta.org/go-hiking/hikes/wallula-gap-east
952,Valhalla Peak,Olympic Peninsula,5.0,roundtrip,2900.0,5345.0,5.0,1,2019-06-30,12,https://www.wta.org/go-hiking/hikes/valhalla-peak
953,Wygant Peak Trail,Southwest Washington,8.0,roundtrip,2000.0,2200.0,0.0,0,2018-03-26,1,https://www.wta.org/go-hiking/hikes/wygant-peak-trail
954,Ahtanum State Forest - Whites Ridge,Central Washington,10.9,roundtrip,1900.0,5000.0,0.0,0,2018-11-02,1,https://www.wta.org/go-hiking/hikes/whites-ridge
955,Yellowstone Cliffs and Windy Gap,Mount Rainier Area,24.6,roundtrip,3500.0,5800.0,3.83,6,2019-06-15,21,https://www.wta.org/go-hiking/hikes/yellowstone-cliffs-and-windy-gap
956,Stampede Pass to Windy Pass,Snoqualmie Region,12.0,one-way,,4500.0,0.0,0,2018-07-23,9,https://www.wta.org/go-hiking/hikes/windy-pass-to-stampede-pass
957,Young Hill,Puget Sound and Islands,2.2,roundtrip,587.0,665.0,3.0,6,2019-03-02,9,https://www.wta.org/go-hiking/hikes/young-hill
958,Viewpoint Park,Puget Sound and Islands,0.6,roundtrip,,,0.0,0,2018-11-07,1,https://www.wta.org/go-hiking/hikes/viewpoint-park
959,Wind Mountain,Southwest Washington,,,,,5.0,1,2018-09-05,10,https://www.wta.org/go-hiking/hikes/wind-mountain
960,IP Road (former Yale Reservoir Logging Road),South Cascades,7.4,roundtrip,300.0,,0.0,0,2019-07-03,3,https://www.wta.org/go-hiking/hikes/yale-reservoir-logging-road-trail
961,Wynoochee Falls,Olympic Peninsula,1.0,roundtrip,,,5.0,1,2019-06-01,16,https://www.wta.org/go-hiking/hikes/wynoochee-falls
962,Wyeth,Southwest Washington,7.3,one-way,4000.0,4100.0,0.0,0,1998-04-20,1,https://www.wta.org/go-hiking/hikes/wyeth
963,Volcano View Trail,South Cascades,1.6,roundtrip,400.0,,0.0,0,2019-05-24,12,https://www.wta.org/go-hiking/hikes/volcano-view-trail
964,Wallace Falls State Park - Greg Ball Trail,Central Cascades,8.2,roundtrip,1500.0,,3.57,14,2019-05-27,205,https://www.wta.org/go-hiking/hikes/wallace-falls-state-park-greg-ball-trail-to-wallace-lake
965,Taylor Mountain - Whiskey Still Trail,Issaquah Alps,4.66,roundtrip,600.0,1050.0,0.0,0,2019-04-09,2,https://www.wta.org/go-hiking/hikes/whiskey-still-trail
966,Longmire to Devil's Dream Camp,Mount Rainier Area,5.5,one-way,2400.0,5000.0,0.0,0,2018-07-24,6,https://www.wta.org/go-hiking/hikes/wonderland-trail-longmire-to-devils-dream-camp
967,Walupt Lake Loop,South Cascades,15.3,roundtrip,1650.0,5712.0,0.0,0,2018-07-08,1,https://www.wta.org/go-hiking/hikes/walupt-lake-loop
968,"West Branch Little Spokane Wildlife Area: Rustler's Gulch, Holly Road Loop",Eastern Washington,6.8,roundtrip,850.0,2260.0,0.0,0,2018-05-07,1,https://www.wta.org/go-hiking/hikes/west-branch-little-spokane-wildlife-area-rustlers-gulch-holly-road-loop
969,Whidbey Institute,Puget Sound and Islands,4.5,trails,420.0,420.0,0.0,0,2018-12-15,1,https://www.wta.org/go-hiking/hikes/whidbey-institute
970,Vancouver Lake - North Trail,Southwest Washington,2.5,roundtrip,,10.0,0.0,0,2018-08-30,11,https://www.wta.org/go-hiking/hikes/vancouver-lake
971,Youth-on-Age Interpretive Trail,North Cascades,0.25,roundtrip,,,2.67,6,2018-04-24,4,https://www.wta.org/go-hiking/hikes/youth-on-age
972,Yellow Hill,Snoqualmie Region,8.0,roundtrip,2827.0,5527.0,2.71,7,2018-05-24,31,https://www.wta.org/go-hiking/hikes/yellow-hill
973,Wright Mountain,Snoqualmie Region,11.4,roundtrip,,5430.0,3.83,6,2019-06-30,71,https://www.wta.org/go-hiking/hikes/wright-mountain
974,Yakima Greenway,Central Washington,10.0,roundtrip,100.0,1130.0,3.75,4,2019-05-03,4,https://www.wta.org/go-hiking/hikes/yakima-greenway
975,Yellow Aster Butte,North Cascades,7.5,roundtrip,2550.0,6150.0,4.35,51,2019-06-30,351,https://www.wta.org/go-hiking/hikes/yellow-aster-butte
976,Yakima Skyline Trail,Central Washington,4.4,roundtrip,1446.0,,3.67,9,2019-05-24,154,https://www.wta.org/go-hiking/hikes/yakima-rim-skyline
977,Woodard Bay Conservation Area,Olympic Peninsula,3.5,trails,,,2.88,8,2018-12-30,25,https://www.wta.org/go-hiking/hikes/woodard-bay-conservation-area
978,Wynoochee Lake,Olympic Peninsula,12.0,roundtrip,1100.0,950.0,2.88,8,2019-06-29,38,https://www.wta.org/go-hiking/hikes/wynoochee-lake
979,Woods Creek,South Cascades,2.5,roundtrip,,1100.0,3.0,5,2018-04-05,10,https://www.wta.org/go-hiking/hikes/woods-creek
980,Wright Meadow,South Cascades,3.0,roundtrip,380.0,3730.0,1.8,5,2013-05-19,2,https://www.wta.org/go-hiking/hikes/wright-meadows
981,Longmire to Cougar Rock Campground Snowshoe,Mount Rainier Area,7.6,roundtrip,1300.0,4100.0,3.67,3,2017-11-17,22,https://www.wta.org/go-hiking/hikes/wonderland-trail-snowshoe
982,Windy Peak,North Cascades,11.5,one-way,,,3.75,4,2018-10-04,15,https://www.wta.org/go-hiking/hikes/windy-peak
983,Windy Pass,North Cascades,7.0,roundtrip,1300.0,6900.0,3.45,11,2018-07-25,32,https://www.wta.org/go-hiking/hikes/windy-pass
984,Wood Lake,South Cascades,4.5,roundtrip,1500.0,4860.0,2.67,6,2017-08-21,4,https://www.wta.org/go-hiking/hikes/wood-lake
985,Wolf Creek,North Cascades,21.0,roundtrip,4270.0,5738.0,3.0,6,2019-04-28,35,https://www.wta.org/go-hiking/hikes/wolf-creek
986,Wonderland Trail - Longmire to Paradise,Mount Rainier Area,6.0,one-way,2700.0,3600.0,4.0,3,2019-06-16,23,https://www.wta.org/go-hiking/hikes/wonderland-trail-longmire-to-paradise-carter-madcap-falls-ise
987,Whiskey Dick Wildlife Area - Bitterroot Trail,Central Washington,1.0,roundtrip,185.0,,0.0,0,2012-05-13,3,https://www.wta.org/go-hiking/hikes/wild-horse-wind-and-solar-facilities-bitterroot-trail
988,Wild Goose,North Cascades,1.4,roundtrip,1100.0,5100.0,3.25,4,2018-11-11,28,https://www.wta.org/go-hiking/hikes/wild-goose
989,White Pass Nordic Center,South Cascades,1.86,roundtrip,250.0,4500.0,0.0,0,2019-01-12,8,https://www.wta.org/go-hiking/hikes/white-pass-nordic-center
990,Preston Railroad Grade,Issaquah Alps,2.6,roundtrip,900.0,,2.5,4,2019-04-02,23,https://www.wta.org/go-hiking/hikes/preston-railroad-grade
991,Priest Rapids Wildlife Area,Central Washington,5.0,roundtrip,50.0,,2.5,4,2016-02-20,2,https://www.wta.org/go-hiking/hikes/priest-rapids-wildlife-area
992,Pipestone Canyon Rim Trail,North Cascades,9.0,roundtrip,1700.0,,4.0,2,2019-06-19,17,https://www.wta.org/go-hiking/hikes/pipestone-canyon-rim-trail
993,Pinnacle Saddle,Mount Rainier Area,2.5,roundtrip,1000.0,5920.0,4.29,17,2019-06-13,141,https://www.wta.org/go-hiking/hikes/pinnacle-saddle
994,Potholes Wildlife Area,Central Washington,4.0,roundtrip,,1050.0,3.4,5,2019-04-03,11,https://www.wta.org/go-hiking/hikes/potholes-wildlife-area
995,Ptarmigan Ridge,North Cascades,6.0,one-way,,,0.0,0,2018-10-21,7,https://www.wta.org/go-hiking/hikes/ptarmigan-ridge-abandoned-trail
996,Peshastin Pinnacles State Park,Central Cascades,1.5,roundtrip,400.0,1450.0,3.33,9,2019-06-22,50,https://www.wta.org/go-hiking/hikes/peshastin-pinnacles
997,Puget Power,Issaquah Alps,2.4,roundtrip,,,2.4,5,2019-06-02,24,https://www.wta.org/go-hiking/hikes/puget-power
998,Pretzel Tree Trail,Issaquah Alps,0.3,roundtrip,,350.0,3.43,7,2019-06-15,21,https://www.wta.org/go-hiking/hikes/pretzel-tree-trail
999,Pine Lake,Olympic Peninsula,4.8,roundtrip,700.0,1830.0,2.17,6,2019-06-29,15,https://www.wta.org/go-hiking/hikes/pine-lake
1000,Pompey Peak,South Cascades,14.0,roundtrip,2000.0,5180.0,4.33,3,2019-07-04,11,https://www.wta.org/go-hiking/hikes/pompey-peak
1001,"Putney Woods, Saratoga Woods and Metcalf Trail System",Puget Sound and Islands,20.0,trails,,,4.0,1,2019-01-10,10,https://www.wta.org/go-hiking/hikes/putney-woods
1002,Pratt Lake Basin,Snoqualmie Region,11.0,roundtrip,2300.0,4100.0,4.0,18,2019-06-22,466,https://www.wta.org/go-hiking/hikes/pratt-lake
1003,Preston-Snoqualmie Trail,Snoqualmie Region,5.1,one-way,,,3.0,1,2019-06-12,10,https://www.wta.org/go-hiking/hikes/preston-snoqualmie
1004,Pinnacle Lake,North Cascades,3.8,roundtrip,1200.0,3800.0,2.89,9,2019-06-30,201,https://www.wta.org/go-hiking/hikes/pinnacle-lake
1005,Phil's Creek,Issaquah Alps,,,,,3.2,5,2019-03-02,50,https://www.wta.org/go-hiking/hikes/phils-creek
1006,Port Susan Bay Preserve,Puget Sound and Islands,2.0,roundtrip,,,0.0,0,2017-08-26,4,https://www.wta.org/go-hiking/hikes/port-susan-bay-preserve
1007,Purple Pass,Central Cascades,15.0,roundtrip,5700.0,6884.0,0.0,0,2018-07-19,14,https://www.wta.org/go-hiking/hikes/purple-pass
1008,Pilchuck Falls,North Cascades,,,,,5.0,1,2011-05-31,1,https://www.wta.org/go-hiking/hikes/pilchuck-falls
1009,Pine and Cedar Lakes,Puget Sound and Islands,5.0,roundtrip,1400.0,1600.0,3.79,14,2019-05-27,138,https://www.wta.org/go-hiking/hikes/pine-and-cedar-lakes
1010,Point Defiance Park,Puget Sound and Islands,5.0,roundtrip,200.0,300.0,4.08,12,2019-05-19,94,https://www.wta.org/go-hiking/hikes/point-defiance-park
1011,Phils Trail - Thrush Gap Loop,Issaquah Alps,8.2,roundtrip,1606.0,2037.0,2.4,5,2018-01-01,24,https://www.wta.org/go-hiking/hikes/phils-trail-thrush-gap-loop
1012,Pipsissewa Trail,Eastern Washington,4.2,roundtrip,860.0,4420.0,2.75,4,2019-05-26,7,https://www.wta.org/go-hiking/hikes/pipsissewa
1013,Primrose Overlook,Issaquah Alps,0.5,roundtrip,150.0,900.0,2.75,4,2019-04-13,7,https://www.wta.org/go-hiking/hikes/primrose-overlook
1014,Polallie Ridge,Snoqualmie Region,8.0,roundtrip,3000.0,5300.0,2.9,10,2019-07-01,104,https://www.wta.org/go-hiking/hikes/polallie-ridge
1015,Precipice Top Trail,Issaquah Alps,0.2,roundtrip,,,3.25,4,2019-05-12,18,https://www.wta.org/go-hiking/hikes/precipice-trail
1016,Protector Trail,Issaquah Alps,0.8,roundtrip,,,0.0,0,2018-12-28,11,https://www.wta.org/go-hiking/hikes/protector-trail
1017,Purcell Lookout,South Cascades,8.2,roundtrip,2600.0,5442.0,3.0,5,2017-08-25,14,https://www.wta.org/go-hiking/hikes/purcell-lookout
1018,Point Colville,Puget Sound and Islands,,,,,0.0,0,2019-06-16,5,https://www.wta.org/go-hiking/hikes/point-colville
1019,Pilchuck Tree Farm,Puget Sound and Islands,4.75,roundtrip,800.0,1400.0,4.0,1,2018-10-27,7,https://www.wta.org/go-hiking/hikes/pilchuck-tree-farm
1020,Boulder Lake (Olympics),Olympic Peninsula,10.2,roundtrip,2480.0,4300.0,3.0,5,2019-05-25,27,https://www.wta.org/go-hiking/hikes/boulder-lake-1
1021,Butte Camp,South Cascades,7.6,roundtrip,1650.0,4750.0,3.88,8,2019-06-12,33,https://www.wta.org/go-hiking/hikes/butte-camp
1022,Bullitt Access Trail,Issaquah Alps,,,,,2.75,4,2019-06-18,67,https://www.wta.org/go-hiking/hikes/bullitt-access
1023,Burley Mountain,South Cascades,7.0,roundtrip,400.0,5304.0,3.17,6,2017-11-26,16,https://www.wta.org/go-hiking/hikes/burley-mountain
1024,Bus Trail,Issaquah Alps,0.7,roundtrip,200.0,500.0,3.25,4,2019-06-28,94,https://www.wta.org/go-hiking/hikes/bus-trail
1025,Camano Ridge Trail,Puget Sound and Islands,5.0,trails,250.0,500.0,3.5,2,2019-06-19,26,https://www.wta.org/go-hiking/hikes/camano-ridge-forest-preserve
1026,Boulder Ridge,North Cascades,,,2700.0,,4.25,4,2019-05-27,29,https://www.wta.org/go-hiking/hikes/boulder-ridge
1027,Brown Creek,Olympic Peninsula,0.8,roundtrip,20.0,,3.2,5,2018-08-12,2,https://www.wta.org/go-hiking/hikes/brown-creek
1028,Boundary Trail - Pasayten,North Cascades,80.0,one-way,9000.0,7800.0,3.25,4,2019-06-28,69,https://www.wta.org/go-hiking/hikes/boundary-trail-1
1029,Bootleg Trail,Issaquah Alps,4.6,roundtrip,1300.0,2200.0,3.2,5,2019-03-31,61,https://www.wta.org/go-hiking/hikes/bootleg
1030,Bonneville Trail,Issaquah Alps,1.2,roundtrip,,,3.0,4,2019-06-02,15,https://www.wta.org/go-hiking/hikes/bonneville-trail
1031,Bootjack Mountain,Central Cascades,8.0,roundtrip,3900.0,6789.0,3.75,8,2018-09-13,35,https://www.wta.org/go-hiking/hikes/bootjack-mountain
1032,Bullitt Gorge,Issaquah Alps,,,,,2.4,5,2018-09-13,45,https://www.wta.org/go-hiking/hikes/bullitt-gorge
1033,Brink Trail,Issaquah Alps,1.2,roundtrip,,,3.75,4,2018-12-22,14,https://www.wta.org/go-hiking/hikes/brink-trail
1034,Bunker Hill,Southwest Washington,4.4,roundtrip,1250.0,2383.0,3.5,4,2018-06-09,8,https://www.wta.org/go-hiking/hikes/bunker-hill
1035,By Pass Trail,Issaquah Alps,0.4,roundtrip,,,4.0,4,2019-06-25,57,https://www.wta.org/go-hiking/hikes/bypass-trail
1036,Buck Creek Pass,Central Cascades,19.2,roundtrip,,6000.0,3.83,6,2019-07-01,116,https://www.wta.org/go-hiking/hikes/buck-creek-pass
1037,Bullion Basin,Mount Rainier Area,4.6,roundtrip,1900.0,6300.0,3.4,5,2019-07-01,52,https://www.wta.org/go-hiking/hikes/bullion-basin
1038,Boulder River,North Cascades,8.6,roundtrip,700.0,1550.0,3.85,105,2019-07-03,791,https://www.wta.org/go-hiking/hikes/boulder-river
1039,Cable Line Trail,Issaquah Alps,3.0,roundtrip,2022.0,2522.0,3.78,18,2019-06-25,241,https://www.wta.org/go-hiking/hikes/cable-line-trail
1040,Blue Lake via Cultus Creek,South Cascades,13.0,roundtrip,700.0,5200.0,2.17,6,2019-06-30,9,https://www.wta.org/go-hiking/hikes/blue-lake-2
1041,Blue Lake and Sheep Canyon via South Fork Toutle,South Cascades,4.5,roundtrip,1000.0,4700.0,3.25,4,2018-08-29,25,https://www.wta.org/go-hiking/hikes/blue-lake-south-fork-toutle
1042,Blue Lake High,Central Cascades,,,,,3.5,4,2018-07-27,41,https://www.wta.org/go-hiking/hikes/blue-lake-high
1043,Bluff Mountain,Southwest Washington,12.0,roundtrip,890.0,4390.0,2.71,7,2019-05-26,9,https://www.wta.org/go-hiking/hikes/bluff-mountain
1044,Boardman Lake,North Cascades,2.0,roundtrip,300.0,3050.0,3.27,15,2019-07-01,175,https://www.wta.org/go-hiking/hikes/boardman-lake
1045,Bluff Lake,South Cascades,3.0,roundtrip,1000.0,3840.0,2.5,4,2018-06-17,10,https://www.wta.org/go-hiking/hikes/bluff-lake
1046,Bogachiel Peak,Olympic Peninsula,16.2,roundtrip,3675.0,5474.0,2.86,7,2019-06-30,40,https://www.wta.org/go-hiking/hikes/bogachiel-peak
1047,Bob Heirman Wildlife Preserve,Puget Sound and Islands,3.0,roundtrip,82.0,92.0,2.0,4,2019-03-18,25,https://www.wta.org/go-hiking/hikes/bob-hierman-preserve
1048,Bogachiel River,Olympic Peninsula,12.0,roundtrip,400.0,500.0,3.1,10,2019-04-14,47,https://www.wta.org/go-hiking/hikes/bogachiel-river
1049,Blue Lake,North Cascades,1.7,roundtrip,300.0,3984.0,4.06,16,2019-06-21,111,https://www.wta.org/go-hiking/hikes/blue-lake-1
1050,Deception Basin,Olympic Peninsula,,,,,4.0,4,2017-07-29,7,https://www.wta.org/go-hiking/hikes/deception-basin
1051,Gravel Lake - Ridge Lake,Snoqualmie Region,,,,,4.0,4,2018-10-17,71,https://www.wta.org/go-hiking/hikes/gravel-lake
1052,Silver Creek - Mineral City,Central Cascades,,,,,3.8,5,2013-06-28,20,https://www.wta.org/go-hiking/hikes/silver-creek-mineral-city
1053,Border Lake BC,North Cascades,,,,,2.5,2,2009-09-22,1,https://www.wta.org/go-hiking/hikes/border-lake-bc
1054,Ramon Lakes,North Cascades,,,,,2.67,3,2016-07-18,3,https://www.wta.org/go-hiking/hikes/ramon-lakes
1055,Anderson Mountain,Puget Sound and Islands,,,,,2.5,2,2018-02-18,6,https://www.wta.org/go-hiking/hikes/anderson-mountain
1056,Mountaineer Ridge,Central Cascades,,,,6920.0,1.5,2,2009-10-10,1,https://www.wta.org/go-hiking/hikes/mountaineer-ridge
1057,Military Ridge,Issaquah Alps,,,,,3.5,2,2016-11-25,4,https://www.wta.org/go-hiking/hikes/military-ridge
1058,Lake Hozomeen,North Cascades,,,,,2.0,2,2019-05-06,14,https://www.wta.org/go-hiking/hikes/hozomeen
1059,Curtis Glacier,North Cascades,,,,,1.5,2,2016-08-20,2,https://www.wta.org/go-hiking/hikes/curtis-glacier
1060,Church Lake,North Cascades,,,,,4.0,3,2017-07-08,5,https://www.wta.org/go-hiking/hikes/church-lake
1061,Mount Sylvester,Central Cascades,,,,,2.5,2,2009-10-11,4,https://www.wta.org/go-hiking/hikes/sylvester-mt
1062,Plummer Peak,Mount Rainier Area,,,,,4.0,6,2018-10-04,27,https://www.wta.org/go-hiking/hikes/plummer-peak
1063,Pinnacle Peak,Mount Rainier Area,,,,,3.0,14,2019-07-01,94,https://www.wta.org/go-hiking/hikes/pinnacle-peak
1064,Lake Philippa,Snoqualmie Region,,,,,3.5,2,2014-05-24,11,https://www.wta.org/go-hiking/hikes/lake-philippa
1065,Dewey Peak,Mount Rainier Area,,,,,3.0,3,2009-08-03,1,https://www.wta.org/go-hiking/hikes/dewey-peak
1066,The Castle,Mount Rainier Area,,,,,4.0,4,2018-10-13,14,https://www.wta.org/go-hiking/hikes/the-castle
1067,Tamanos Mountain,Mount Rainier Area,,,,,3.33,3,2018-09-26,24,https://www.wta.org/go-hiking/hikes/tamanos-mountain
1068,Seymour Peak,Mount Rainier Area,,,,,4.0,2,2009-08-03,2,https://www.wta.org/go-hiking/hikes/seymour-peak
1069,Governors Ridge,Mount Rainier Area,,,,,1.67,3,2009-10-11,1,https://www.wta.org/go-hiking/hikes/governors-ridge
1070,Denman Peak,Mount Rainier Area,,,,,3.5,2,2017-07-21,3,https://www.wta.org/go-hiking/hikes/denman-peak
1071,Barrier Peak,Mount Rainier Area,,,,,2.5,2,2018-09-25,6,https://www.wta.org/go-hiking/hikes/barrier-peak
1072,Pratt Mountain,Snoqualmie Region,12.0,roundtrip,3299.0,5099.0,5.0,3,2019-06-15,80,https://www.wta.org/go-hiking/hikes/pratt-mountain
1073,Steamboat Prow,Mount Rainier Area,,,,,4.25,4,2019-06-15,14,https://www.wta.org/go-hiking/hikes/steamboat-prow
1074,Charlia Lakes Way Trail,Olympic Peninsula,,,,,3.5,4,2018-11-10,11,https://www.wta.org/go-hiking/hikes/charlia-lakes-way-trail
1075,Mount Olympus,Olympic Peninsula,,,,,4.0,2,2019-06-15,15,https://www.wta.org/go-hiking/hikes/mount-olympus
1076,Double Eagle Mine - Devils Lake,North Cascades,,,,,3.0,2,2015-01-25,3,https://www.wta.org/go-hiking/hikes/doubleeagle-mine-devils-lake
1077,Mission Peak,Central Cascades,,,,6876.0,3.5,2,2018-10-15,9,https://www.wta.org/go-hiking/hikes/mission-peak
1078,Iron Mountain - Trout Creek,Central Cascades,,,,,2.0,2,2016-03-31,6,https://www.wta.org/go-hiking/hikes/iron-mountain-trout-creek
1079,Dog Lake to Cramer Lake (Trail 1106),South Cascades,,,,,2.5,4,2018-07-12,24,https://www.wta.org/go-hiking/hikes/dog-lake-to-cramer-lake-trail-1106
1080,West Fork Miller River,Central Cascades,,,,,3.25,4,2016-01-31,13,https://www.wta.org/go-hiking/hikes/west-fork-miller-river
1081,Three Musketeers Ridge (7680'),Central Cascades,,,,,2.67,3,2009-06-19,1,https://www.wta.org/go-hiking/hikes/three-musketeers-ridge-7680
1082,McLeod Mountain,North Cascades,,,,8099.0,4.5,2,2018-05-26,2,https://www.wta.org/go-hiking/hikes/mcleod-mountain
1083,Gabriel Peak,North Cascades,,,,7960.0,3.0,2,2009-06-04,1,https://www.wta.org/go-hiking/hikes/gabriel-peak
1084,Cascade Lookout,Snoqualmie Region,,,,,3.5,2,2009-05-31,1,https://www.wta.org/go-hiking/hikes/cascade-lookout
1085,South Ingalls Peak,Snoqualmie Region,,,,,3.5,2,2019-06-21,28,https://www.wta.org/go-hiking/hikes/south-ingalls-peak
1086,Hall Creek,Snoqualmie Region,,,,,1.67,3,2018-05-02,15,https://www.wta.org/go-hiking/hikes/hall-creek
1087,Buckhorn Pass,Mount Rainier Area,,,,,3.33,3,2018-08-04,7,https://www.wta.org/go-hiking/hikes/buckhorn-pass
1088,Duke of Kent,Snoqualmie Region,7.0,roundtrip,3400.0,4840.0,3.0,4,2018-05-22,5,https://www.wta.org/go-hiking/hikes/duke-of-kent
1089,Chiwaukum Mountain,Central Cascades,,,,7423.0,3.0,3,2009-01-31,1,https://www.wta.org/go-hiking/hikes/chiwaukum-mountains
1090,West Granite Mountain,Snoqualmie Region,,,,,3.2,5,2019-06-11,44,https://www.wta.org/go-hiking/hikes/w-granite-mt
1091,Schweitzer Creek Loop,North Cascades,,,,,2.5,2,2009-01-31,1,https://www.wta.org/go-hiking/hikes/schweitzer-creek-loop
1092,North Fork Snoqualmie Road,Snoqualmie Region,,,,,4.5,2,2008-12-22,3,https://www.wta.org/go-hiking/hikes/north-fork-snoqualmie-road
1093,Ugly Duckling 5140',Snoqualmie Region,,,,,1.0,2,2008-12-11,3,https://www.wta.org/go-hiking/hikes/ugly-duckling-5140
1094,Pika Trail,South Cascades,,,,,3.33,3,2019-04-20,6,https://www.wta.org/go-hiking/hikes/pika-244d
1095,Pine Marten Trail,South Cascades,,,,,3.25,4,2016-12-31,2,https://www.wta.org/go-hiking/hikes/pine-marten-trail
1096,Holder Creek,Issaquah Alps,,,,,2.33,3,2019-01-11,5,https://www.wta.org/go-hiking/hikes/holder-creek
1097,Wahkeena Trail,Southwest Washington,,,,,4.33,3,2019-02-24,10,https://www.wta.org/go-hiking/hikes/wahkeena-trail-420
1098,Mount Blanchard,Puget Sound and Islands,,,,,2.2,5,2017-03-26,14,https://www.wta.org/go-hiking/hikes/mount-blanchard
1099,Edith Creek Basin,Mount Rainier Area,,,,,3.5,4,2019-03-02,7,https://www.wta.org/go-hiking/hikes/edith-creek-basin
1100,Howard Miller Steelhead Park,North Cascades,,,,,2.33,3,2017-03-11,3,https://www.wta.org/go-hiking/hikes/howard-miller-steelhead-park-rail-trail
1101,Arrowhead Mountain,Central Cascades,,,,,4.0,3,2018-01-03,16,https://www.wta.org/go-hiking/hikes/arrowhead-mountain
1102,Skookumchuck River,South Cascades,,,,,4.0,2,2009-02-16,1,https://www.wta.org/go-hiking/hikes/skookumchuck-river
1103,Rosario Head,Puget Sound and Islands,,,,,4.17,6,2019-05-04,21,https://www.wta.org/go-hiking/hikes/rosario-head
1104,Chipmunk Rd (FS 1802),South Cascades,,,,,1.0,2,2009-01-24,1,https://www.wta.org/go-hiking/hikes/chipmunk-rd-fs-1802
1105,Stafford Lookout,Central Cascades,,,,,4.0,2,2019-05-11,13,https://www.wta.org/go-hiking/hikes/stafford-lookout
1106,Calligan Lake,Snoqualmie Region,,,,,3.0,3,2009-04-26,1,https://www.wta.org/go-hiking/hikes/calligan-lake
1107,Fivemile Butte Lookout,South Cascades,,,,,4.0,3,2009-12-20,2,https://www.wta.org/go-hiking/hikes/fivemile-butte-lookout
1108,Lake Hancock,Snoqualmie Region,,,,,2.5,4,2012-01-10,5,https://www.wta.org/go-hiking/hikes/lake-hancock
1109,Government Meadows,South Cascades,,,,,3.0,3,2018-09-23,12,https://www.wta.org/go-hiking/hikes/government-meadows
1110,Lookout Mountain Forest Preserve,Puget Sound and Islands,6.5,trails,,,3.33,6,2019-05-11,33,https://www.wta.org/go-hiking/hikes/lookout-mountain-forest-preserve
1111,McCroskey Memorial State Park,Eastern Washington,,,,,4.0,1,2019-01-02,2,https://www.wta.org/go-hiking/hikes/mccroskey-memorial-state-park
1112,Mount Roosevelt,Snoqualmie Region,12.0,roundtrip,3500.0,5835.0,0.0,0,2019-06-16,9,https://www.wta.org/go-hiking/hikes/mount-roosevelt
1113,Midnight Mountain,Eastern Washington,10.6,roundtrip,2250.0,6150.0,0.0,0,,0,https://www.wta.org/go-hiking/hikes/midnight-mountain
1114,Moraine Trail,Mount Rainier Area,2.2,roundtrip,400.0,5850.0,5.0,2,2019-06-06,7,https://www.wta.org/go-hiking/hikes/moraine-trail
1115,Leadbetter Point State Park - Dune Forest Loop,Southwest Washington,2.9,roundtrip,60.0,35.0,1.8,5,2019-01-24,22,https://www.wta.org/go-hiking/hikes/leadbetter-point-state-park-dune-forest-loop
1116,Miner's Corner,Puget Sound and Islands,1.0,roundtrip,65.0,410.0,0.0,0,2019-05-16,1,https://www.wta.org/go-hiking/hikes/miners-corner
1117,Lily and Lizard Lake Loop,Puget Sound and Islands,7.15,roundtrip,1400.0,2120.0,3.78,9,2019-06-09,146,https://www.wta.org/go-hiking/hikes/lily-lizard-lake-loop
1118,McClellan Meadows,Southwest Washington,6.0,roundtrip,,,0.0,0,,0,https://www.wta.org/go-hiking/hikes/mcclellan-meadows
1119,Kalama River,South Cascades,8.0,roundtrip,500.0,2500.0,0.0,0,2018-05-25,2,https://www.wta.org/go-hiking/hikes/kalama-river
1120,Mount Spokane State Park - Trail 132,Eastern Washington,0.5,one-way,375.0,4794.0,0.0,0,2017-08-10,1,https://www.wta.org/go-hiking/hikes/mount-spokane-trail-132
1121,Mackenzie Reserve,Eastern Washington,,,,,0.0,0,2015-05-09,1,https://www.wta.org/go-hiking/hikes/mackenzie-reserve
1122,Lake Sacajawea,Southwest Washington,3.5,roundtrip,,,3.33,3,2018-09-23,5,https://www.wta.org/go-hiking/hikes/lake-sacajawea
1123,McKenzie Conservation Area,Eastern Washington,3.3,trails,436.0,2434.0,0.0,0,2019-07-04,22,https://www.wta.org/go-hiking/hikes/mckenzie-conservation-area
