TITLE,REGION,DISTANCE,DIST_TYPE,GAIN,HIGHEST,RATING,RATING_COUNT,LATITUDE,LONGITUDE,REPORT_DATE,REPORT_COUNT,URL
McAlester Trail,Central Cascades,,,,,2.25,4,48.503950062850954,-120.71681537942476,2019-10-16,16,https://www.wta.org/go-hiking/hikes/mcalester-trail
Scatter Peak,Snoqualmie Region,,,,7031.0,2.67,3,47.4789572883,-121.00240945799999,2015-05-09,4,https://www.wta.org/go-hiking/hikes/scatter-peak
Tank Lakes,Central Cascades,23.0,roundtrip,4100.0,5804.0,2.0,5,47.6649696969,-121.28830004500003,2019-10-01,43,https://www.wta.org/go-hiking/hikes/tank-lakes
Marble Pass,North Cascades,,,,,2.75,4,,,2019-09-23,12,https://www.wta.org/go-hiking/hikes/marble-pass
Bears Breast,Central Cascades,,,,,3.33,3,,,2008-09-13,1,https://www.wta.org/go-hiking/hikes/bears-breast
Inter Glacier,Mount Rainier Area,4.6,roundtrip,2920.0,7150.0,3.0,4,46.901889,-121.64455599999997,2019-08-01,8,https://www.wta.org/go-hiking/hikes/inter-glacier
Bean Peak,Central Cascades,,,,6743.0,3.75,4,47.394572659223556,-120.87570190429688,2019-09-21,62,https://www.wta.org/go-hiking/hikes/bean-peak
Wing Lake,North Cascades,,,,,3.0,4,,,2019-10-14,50,https://www.wta.org/go-hiking/hikes/wing-lake
Ptarmigan Ridge (Mount Rainier),Mount Rainier Area,,,,,2.5,4,46.933959698865664,-121.8637079906079,2016-08-05,3,https://www.wta.org/go-hiking/hikes/ptarmigan-ridge-mount-rainier
Flett Glacier,Mount Rainier Area,,,,,2.4,5,,,2019-09-21,7,https://www.wta.org/go-hiking/hikes/flett-glacier
Hidden Lake,Mount Rainier Area,,,,,3.5,4,,,2019-07-23,25,https://www.wta.org/go-hiking/hikes/hidden-lake-2
Green Park Lakes,Mount Rainier Area,,,,,2.5,4,,,2016-09-16,3,https://www.wta.org/go-hiking/hikes/green-park-lakes
K9,Central Cascades,,,,6242.0,3.0,3,,,2019-11-10,6,https://www.wta.org/go-hiking/hikes/k9
Ice Box Peak,Central Cascades,,,,8112.0,3.5,4,,,2008-10-11,1,https://www.wta.org/go-hiking/hikes/icebox-peak
Copper Point,North Cascades,,,,7840.0,2.67,3,,,2017-10-05,3,https://www.wta.org/go-hiking/hikes/copper-point
Mount Daniel,Snoqualmie Region,18.0,roundtrip,5100.0,7960.0,4.2,5,47.5434484,-121.09711749999997,2019-09-30,88,https://www.wta.org/go-hiking/hikes/mount-daniel
Lion Rock,Central Cascades,,,,6360.0,3.8,5,,,2019-05-12,8,https://www.wta.org/go-hiking/hikes/lion-rock
Jerry Lakes,North Cascades,,,,,3.0,4,,,2008-09-13,2,https://www.wta.org/go-hiking/hikes/jerry-lakes
Little Bulger Peak,Snoqualmie Region,,,,,2.25,4,,,2008-09-10,1,https://www.wta.org/go-hiking/hikes/little-bulger-peak
Wildcat,South Cascades,,,,,2.25,4,,,2015-05-10,5,https://www.wta.org/go-hiking/hikes/wildcat
Snagtooth Falls,South Cascades,,,,,3.25,4,,,2012-05-26,1,https://www.wta.org/go-hiking/hikes/snagtooth-falls
South Fork Tieton River,Central Washington,4.0,roundtrip,,1860.0,3.33,6,46.7279260113,-120.81366241,2019-10-13,35,https://www.wta.org/go-hiking/hikes/south-fork-tieton-river
South Cascade,North Cascades,,,,,3.25,4,,,2006-09-04,1,https://www.wta.org/go-hiking/hikes/south-cascade
Snagtooth Ridge,North Cascades,,,,,2.25,4,,,,0,https://www.wta.org/go-hiking/hikes/snagtooth-ridge
Smithbrook,Central Cascades,,,,,2.88,8,47.7842113561,-121.038780212,2019-06-22,158,https://www.wta.org/go-hiking/hikes/smithbrook
Scout Lake,Olympic Peninsula,21.2,roundtrip,,,2.25,4,,,2018-11-17,11,https://www.wta.org/go-hiking/hikes/scout-lake
Scho Horse Pasture,North Cascades,,,,,2.5,4,,,,0,https://www.wta.org/go-hiking/hikes/scho-horse-pasture
Schalow,North Cascades,,,,,3.25,4,48.5874948922,-119.69439268100001,2017-12-03,2,https://www.wta.org/go-hiking/hikes/schalow
Spencer Spit,Puget Sound and Islands,1.2,roundtrip,60.0,60.0,3.67,3,48.53635,-122.859483,2019-06-09,6,https://www.wta.org/go-hiking/hikes/spencer-spit
Spinola Meadow,Snoqualmie Region,,,,,1.67,3,,,,0,https://www.wta.org/go-hiking/hikes/spinola-meadow
Spanish Creek,North Cascades,,,,,2.33,3,48.8848396,-119.8666783,2010-06-27,1,https://www.wta.org/go-hiking/hikes/spanish-creek
Spratt Mountain,North Cascades,,,,,2.33,3,,,,0,https://www.wta.org/go-hiking/hikes/spratt-mountain
Steamboat Lake,South Cascades,,,,,1.33,3,,,,0,https://www.wta.org/go-hiking/hikes/steamboat-lake
Spinola Creek,Snoqualmie Region,,,,,3.25,4,,,2015-09-05,7,https://www.wta.org/go-hiking/hikes/spinola-creek
Spotted Creek,North Cascades,,,,,3.33,3,,,2016-08-27,1,https://www.wta.org/go-hiking/hikes/spotted-creek
Square Lakes,Central Cascades,,,,,2.75,4,,,2013-09-14,7,https://www.wta.org/go-hiking/hikes/square-lakes
Squaw Lake,Snoqualmie Region,5.0,roundtrip,1400.0,4841.0,3.8,5,47.543221593,-121.097488403,2019-07-27,34,https://www.wta.org/go-hiking/hikes/squaw-lake
Spiral Butte,South Cascades,,,,,3.25,4,,,2005-08-13,3,https://www.wta.org/go-hiking/hikes/spiral-butte
Stool Camp,South Cascades,,,,,2.33,3,,,,0,https://www.wta.org/go-hiking/hikes/stool-camp
South Puyallup To Klapatche,Mount Rainier Area,,,,,3.6,5,,,2012-09-17,4,https://www.wta.org/go-hiking/hikes/south-puyallup-to-klapatche
Steliko Ridge,Central Cascades,,,,,2.75,4,,,,0,https://www.wta.org/go-hiking/hikes/steliko-ridge
Staircase Rapids,Olympic Peninsula,4.0,roundtrip,150.0,950.0,3.97,29,47.5157666667,-123.32996666700001,2019-11-11,252,https://www.wta.org/go-hiking/hikes/staircase
State Creek,North Cascades,,,,,3.33,3,,,,0,https://www.wta.org/go-hiking/hikes/state-creek
Stave Creek,Snoqualmie Region,,,,,3.25,4,,,2002-10-29,1,https://www.wta.org/go-hiking/hikes/stave-creek
Steam Hoist,Issaquah Alps,,,,,2.0,3,,,2019-01-30,5,https://www.wta.org/go-hiking/hikes/steam-hoist
Stabler Camp,South Cascades,,,,,2.5,4,,,,0,https://www.wta.org/go-hiking/hikes/stabler-camp
South Tommy,Central Cascades,,,,,3.25,4,,,,0,https://www.wta.org/go-hiking/hikes/south-tommy
Smith Creek,South Cascades,6.0,roundtrip,200.0,1800.0,3.25,4,46.1826,-122.054566667,2019-08-10,9,https://www.wta.org/go-hiking/hikes/smith-creek
Skookum Basin,Central Cascades,,,,,3.25,4,,,2003-07-26,1,https://www.wta.org/go-hiking/hikes/skookum-basin
Slate Creek,Eastern Washington,8.2,roundtrip,1500.0,4600.0,2.67,3,,,2010-08-06,1,https://www.wta.org/go-hiking/hikes/slate-creek
South Fork Little Naches River,Snoqualmie Region,,,,,2.0,4,,,,0,https://www.wta.org/go-hiking/hikes/south-fork-little-naches-river
Boulder Creek - Gallagher Head Lake,Snoqualmie Region,9.0,roundtrip,2100.0,5606.0,3.2,5,47.4558420609,-121.048457623,2019-07-17,6,https://www.wta.org/go-hiking/hikes/south-fork-boulder-creek
Silver Star View Snowshoe,North Cascades,20.0,roundtrip,700.0,3500.0,2.5,2,,,,0,https://www.wta.org/go-hiking/hikes/silver-star-view-snowshoe
South Fork Taneum River,Snoqualmie Region,,,,,3.75,4,,,2014-06-09,1,https://www.wta.org/go-hiking/hikes/south-fork-taneum-river
Skagit Peak,North Cascades,,,,,3.33,3,,,,0,https://www.wta.org/go-hiking/hikes/skagit-peak
Sol Duc River,Olympic Peninsula,,,,,3.0,5,47.95507063105036,-123.8353157043457,2019-09-28,45,https://www.wta.org/go-hiking/hikes/sol-duc-river
Smokey Mountain,North Cascades,,,,,2.0,4,,,,0,https://www.wta.org/go-hiking/hikes/smokey-mountain
Smith Lake Primitive,Olympic Peninsula,,,,,3.25,4,,,2018-08-10,3,https://www.wta.org/go-hiking/hikes/smith-lake-primitive
Clayton Beach,Puget Sound and Islands,,,,,3.33,3,48.6384105007,-122.47953414900002,2018-09-06,17,https://www.wta.org/go-hiking/hikes/clayton-beach
Chihuly Trail,Central Cascades,,,,,3.5,2,47.550210878255555,-120.6867154687643,2015-04-01,2,https://www.wta.org/go-hiking/hikes/chihuly-trail
Church Creek,Olympic Peninsula,6.4,roundtrip,2300.0,3200.0,3.0,5,47.4240136,-123.51963469999998,2019-08-07,41,https://www.wta.org/go-hiking/hikes/church-creek
Chief Joseph Wildlife Area - Green Gulch,Eastern Washington,10.0,roundtrip,2500.0,,3.33,6,46.022072,-117.02763529999999,2019-09-16,5,https://www.wta.org/go-hiking/hikes/chief-joseph-wildlife-area-green-gulch
Chelan Summit,North Cascades,38.0,one-way,6500.0,,3.0,2,48.1070573143,-120.33850908300002,2019-08-12,18,https://www.wta.org/go-hiking/hikes/chelan-summit-1261
Chancellor,North Cascades,13.8,roundtrip,3500.0,6300.0,3.0,4,48.7028865,-120.9102921,2019-08-08,28,https://www.wta.org/go-hiking/hikes/chancellor
Castle Pass,North Cascades,18.9,one-way,5400.0,6600.0,2.5,4,,,2019-06-29,15,https://www.wta.org/go-hiking/hikes/castle-pass
Chadwick Hill,Puget Sound and Islands,,,,,5.0,1,48.42977007767608,-122.81736373867386,2019-08-25,7,https://www.wta.org/go-hiking/hikes/chadwick-hill
Central Peak,Issaquah Alps,1.8,roundtrip,,2025.0,2.86,7,47.4817453011,-122.053178251,2019-11-10,133,https://www.wta.org/go-hiking/hikes/central-peak
Captain William Clark Regional Park at Cottonwood Beach - Dike Trail,Southwest Washington,6.0,roundtrip,,,1.0,1,45.5669055,-122.33711040000003,2019-08-11,3,https://www.wta.org/go-hiking/hikes/captain-william-clark-regional-park-at-cottonwood-beach-dike-trail
Cascade Trail,Puget Sound and Islands,22.5,one-way,60.0,230.0,2.5,2,48.517885,-122.20873,2019-02-09,12,https://www.wta.org/go-hiking/hikes/cascade-trail
Chenuis Falls,Mount Rainier Area,8.0,roundtrip,500.0,2200.0,3.17,6,46.995,-121.91550000000001,2019-09-07,79,https://www.wta.org/go-hiking/hikes/chenuis-falls
Chelan Ridge,Central Cascades,1.2,roundtrip,250.0,,0.0,0,,,2012-09-03,1,https://www.wta.org/go-hiking/hikes/chelan-ridge
Cattle Point Lighthouse,Puget Sound and Islands,0.5,roundtrip,25.0,25.0,5.0,1,48.4535703905,-122.96344757100002,2019-09-01,8,https://www.wta.org/go-hiking/hikes/cattle-point-lighthouse
Cape Alava,Olympic Peninsula,6.2,roundtrip,100.0,350.0,3.4,10,48.1536971518,-124.66872809199998,2019-08-31,63,https://www.wta.org/go-hiking/hikes/cape-alava
Cedar Creek Park,Puget Sound and Islands,4.0,roundtrip,300.0,,0.0,0,47.41082562244743,-122.00380303009297,2017-04-11,5,https://www.wta.org/go-hiking/hikes/cedar-creek-park
Canyon Lake,Central Cascades,12.0,roundtrip,3800.0,6400.0,2.2,5,48.24810539595296,-121.19241379201412,2019-06-24,14,https://www.wta.org/go-hiking/hikes/canyon-lake
Chatter Creek,Central Cascades,11.0,roundtrip,3800.0,6400.0,4.0,4,47.6098,-120.892,2019-07-24,136,https://www.wta.org/go-hiking/hikes/chatter-creek
Cedar Flats Nature Trail,Southwest Washington,1.1,roundtrip,67.0,1380.0,2.5,4,46.1115833333,-122.01831666700002,2019-06-02,5,https://www.wta.org/go-hiking/hikes/cedar-flat
Cedar River Trail,Puget Sound and Islands,17.4,one-way,820.0,600.0,3.62,8,47.50003955,-122.21491813699998,2019-08-11,31,https://www.wta.org/go-hiking/hikes/cedar-river-trail
Candy Point Trail,Central Washington,1.5,roundtrip,700.0,,0.0,0,47.96875,-118.98519899999997,2019-03-23,5,https://www.wta.org/go-hiking/hikes/candy-point-trail
Canoe Peak,Snoqualmie Region,3.0,roundtrip,3600.0,5400.0,0.0,0,,,2018-07-04,6,https://www.wta.org/go-hiking/hikes/canoe-peak
Moran State Park - Cascade Lake,Puget Sound and Islands,2.7,roundtrip,200.0,480.0,3.0,7,48.656233,-122.85480000000001,2019-10-26,23,https://www.wta.org/go-hiking/hikes/cascade-lake
Cedar Falls Snowshoe,North Cascades,9.6,roundtrip,1350.0,3570.0,4.33,3,48.5803562,-120.48203999999998,2017-01-15,3,https://www.wta.org/go-hiking/hikes/cedar-falls-snowshoe
Catherine Creek - Natural Arch,Southwest Washington,2.1,roundtrip,250.0,500.0,0.0,0,45.7108543194,-121.36124610900004,2019-04-18,20,https://www.wta.org/go-hiking/hikes/catherine-creek-natural-arch
Cave Hole,Issaquah Alps,2.4,roundtrip,,,3.33,6,47.5344802804,-122.128499374,2019-09-16,145,https://www.wta.org/go-hiking/hikes/cave-hole
Chamna Natural Preserve,Central Washington,3.8,roundtrip,30.0,350.0,3.25,8,46.2577130496,-119.28651586199999,2018-05-20,7,https://www.wta.org/go-hiking/hikes/chamna-natural-preserve
Camp Creek Falls,South Cascades,0.6,roundtrip,40.0,1360.0,3.5,4,46.448709,-121.83545500000002,2019-08-17,7,https://www.wta.org/go-hiking/hikes/camp-creek-falls
Cat Basin Primitive,Olympic Peninsula,5.0,one-way,1500.0,5500.0,2.75,4,47.9560190744,-123.837890625,2019-06-30,10,https://www.wta.org/go-hiking/hikes/cat-basin-primitive
Burnt Bridge Creek Greenway Trail,Southwest Washington,16.2,roundtrip,200.0,310.0,4.0,1,45.6359179,-122.58015699999999,2018-08-02,2,https://www.wta.org/go-hiking/hikes/burnt-bridge-creek-trail
Naneum Creek,Central Cascades,,,,,1.75,4,,,2018-06-26,10,https://www.wta.org/go-hiking/hikes/naneum-creek
Myrtle Lake,Central Cascades,8.0,roundtrip,650.0,3765.0,3.38,8,48.0243666667,-120.65120000000002,2019-10-26,31,https://www.wta.org/go-hiking/hikes/myrtle-lake
Navarre Way,North Cascades,,,,,3.25,4,,,2016-07-28,2,https://www.wta.org/go-hiking/hikes/navarre-way
Nile Ridge,South Cascades,,,,,2.0,4,,,1999-08-15,1,https://www.wta.org/go-hiking/hikes/nile-ridge
Muckamuck,Eastern Washington,,,,,2.5,4,,,1999-09-11,1,https://www.wta.org/go-hiking/hikes/muckamuck
Naneum-Wilson,Central Cascades,,,,,2.75,4,,,2009-08-03,2,https://www.wta.org/go-hiking/hikes/naneum-wilson
Mount Tom Creek,Olympic Peninsula,,,,,2.0,4,,,2011-04-09,1,https://www.wta.org/go-hiking/hikes/mount-tom-creek
Mowich River,Mount Rainier Area,7.0,roundtrip,2400.0,5000.0,3.0,5,46.9327,-121.863616667,2018-09-23,11,https://www.wta.org/go-hiking/hikes/mowich-river
Naneum Rim,Central Cascades,,,,,3.25,4,,,2010-06-12,1,https://www.wta.org/go-hiking/hikes/naneum-rim
Naneum Meadows,Central Cascades,,,,,2.5,4,,,2018-06-26,7,https://www.wta.org/go-hiking/hikes/naneum-meadows
Mutton Ridge,Eastern Washington,,,,,2.75,4,,,2005-05-10,1,https://www.wta.org/go-hiking/hikes/mutton-ridge
Mount Townsend Snowshoe,Olympic Peninsula,13.5,roundtrip,2500.0,5500.0,1.0,2,47.8558656,-123.0359764,2019-01-27,19,https://www.wta.org/go-hiking/hikes/mount-townsend-snowshoe
Mount Washington,Olympic Peninsula,4.0,roundtrip,3190.0,,3.5,8,47.520359824533806,-123.23518753051758,2019-10-26,25,https://www.wta.org/go-hiking/hikes/mount-washington
Mount Higgins,North Cascades,9.0,roundtrip,3400.0,4849.0,3.0,9,48.3106,-121.850583333,2019-11-10,113,https://www.wta.org/go-hiking/hikes/mount-higgins
Mount Clifty,South Cascades,,,,,3.25,4,,,2006-06-22,2,https://www.wta.org/go-hiking/hikes/mount-clifty
Miners Cabin,Central Cascades,,,,,2.0,3,,,2015-06-22,2,https://www.wta.org/go-hiking/hikes/miners-cabin
Minnow Ridge ORV,Central Cascades,,,,,2.0,4,,,,0,https://www.wta.org/go-hiking/hikes/minnow-ridge-orv
Minnow Creek,Central Cascades,,,,,3.67,3,,,2019-06-24,7,https://www.wta.org/go-hiking/hikes/minnow-creek
Mount Barney,North Cascades,,,,,2.75,4,,,,0,https://www.wta.org/go-hiking/hikes/mount-barney
Mount Rainier Summit,Mount Rainier Area,,,,,3.0,5,46.849860689868386,-121.761474609375,2019-07-31,25,https://www.wta.org/go-hiking/hikes/mount-rainier
Mosquito Valley,Mount Rainier Area,9.0,roundtrip,600.0,5400.0,3.4,5,46.75205,-121.36155,2015-08-26,5,https://www.wta.org/go-hiking/hikes/mosquito-meadows
Mount Margaret Snowshoe,Snoqualmie Region,9.0,roundtrip,2800.0,5200.0,3.0,2,47.3706312,-121.3580509,2019-09-29,38,https://www.wta.org/go-hiking/hikes/mount-margaret-snowshoe
Mount Beljica,Mount Rainier Area,4.0,roundtrip,1100.0,5478.0,4.36,11,46.773417,-121.944567,2019-10-31,90,https://www.wta.org/go-hiking/hikes/mount-beljica
Mount Angeles Snowshoe,Olympic Peninsula,6.0,roundtrip,600.0,5900.0,3.0,2,,,2010-01-19,2,https://www.wta.org/go-hiking/hikes/mount-angeles-snowshoe
Mott Creek,Central Cascades,,,,,3.0,3,,,,0,https://www.wta.org/go-hiking/hikes/mott-creek
Moran State Park - Mount Constitution via Mountain Lake,Puget Sound and Islands,6.7,roundtrip,1500.0,2410.0,4.3,20,48.6569333333,-122.81799999999998,2019-05-30,97,https://www.wta.org/go-hiking/hikes/mount-constitution
Moraine Park-Mystic Lake,Mount Rainier Area,15.6,roundtrip,3650.0,6000.0,3.0,4,46.9770833333,-121.831533333,2019-07-03,20,https://www.wta.org/go-hiking/hikes/moraine-park
Mount Clifty Ridge,South Cascades,,,,,2.75,4,,,2013-09-15,3,https://www.wta.org/go-hiking/hikes/mount-clifty-ridge
Mount Jupiter,Olympic Peninsula,14.0,roundtrip,3950.0,5701.0,3.18,11,47.68415,-122.95690000000002,2019-03-15,93,https://www.wta.org/go-hiking/hikes/mount-jupiter
Milton Mountain,North Cascades,,,,,3.25,4,,,2017-06-21,1,https://www.wta.org/go-hiking/hikes/milton-mountain
Boundary Trail,South Cascades,57.0,roundtrip,12300.0,5690.0,3.5,4,46.2765199,-122.21648429999999,2019-09-25,117,https://www.wta.org/go-hiking/hikes/boundary-trail-mount-st.-helens
Stillaguamish Peak,North Cascades,,,,,2.67,3,,,2019-08-04,37,https://www.wta.org/go-hiking/hikes/stillaguamish
Pot Hole Trail,South Cascades,,,,,3.0,1,,,2019-08-18,3,https://www.wta.org/go-hiking/hikes/pothole-trail-45
Hoodoo Peak,North Cascades,,,,,5.0,1,,,2019-06-08,4,https://www.wta.org/go-hiking/hikes/hoodoo-peak
Sentinel Bluffs,Central Washington,,,,,3.0,3,,,2010-03-13,1,https://www.wta.org/go-hiking/hikes/sentinel-bluffs
Cedar Springs,North Cascades,,,,,4.5,2,,,,0,https://www.wta.org/go-hiking/hikes/cedar-springs
Triple Creek Falls,North Cascades,,,,,2.0,3,48.09355572365572,-121.79977655410767,2019-03-24,9,https://www.wta.org/go-hiking/hikes/triple-creek-falls
Camp 2 - Lookout Mountain,Puget Sound and Islands,8.0,roundtrip,2600.0,2767.0,3.4,5,48.6445923489,-122.33018875099998,2019-10-26,35,https://www.wta.org/go-hiking/hikes/camp-2-lookout-mt
Hovey Creek Road,Central Cascades,,,,,3.5,2,,,2012-03-18,3,https://www.wta.org/go-hiking/hikes/hovey-creek-road-cross-country-ski
Bear Creek Falls,North Cascades,,,,,3.33,3,48.6184702971,-121.73696994800002,2017-05-08,12,https://www.wta.org/go-hiking/hikes/bear-creek-falls
Mineral Butte,Central Cascades,,,,,5.0,2,,,2009-08-15,15,https://www.wta.org/go-hiking/hikes/mineral-butte
Yakima Peak,Mount Rainier Area,,,,,3.5,2,46.87488603427103,-121.51802301428688,2017-08-06,10,https://www.wta.org/go-hiking/hikes/yakima-peak
Chair Peak Lake,Snoqualmie Region,,,,,3.29,7,47.41491829817657,-121.4434115588665,2019-09-08,37,https://www.wta.org/go-hiking/hikes/chair-peak-lake
Airplane Lake (Sultan),Central Cascades,,,,,3.75,4,,,2018-07-22,8,https://www.wta.org/go-hiking/hikes/airplane-lake-sultan
Captain Point,Central Cascades,,,,,3.5,2,47.7669444,-121.19388879999997,2018-05-31,6,https://www.wta.org/go-hiking/hikes/captain-point
Junggeselle Peak,Snoqualmie Region,,,,6527.0,2.5,2,,,2009-07-18,1,https://www.wta.org/go-hiking/hikes/junggeselle-peak
Thatsit Peak,Central Cascades,,,,,3.0,2,,,2011-08-19,2,https://www.wta.org/go-hiking/hikes/thatsit-peak
Bill's Peak,Snoqualmie Region,,,,6917.0,3.0,2,,,2019-07-17,9,https://www.wta.org/go-hiking/hikes/bills-peak
Teanaway Butte,Central Cascades,,,,4760.0,3.5,2,47.3121767904,-120.94779968299997,2019-04-24,18,https://www.wta.org/go-hiking/hikes/teanaway-butte
Stevens Peak,Mount Rainier Area,,,,,3.5,2,46.74610925721538,-121.67662024497986,2017-07-12,3,https://www.wta.org/go-hiking/hikes/stevens-peak
Boundary Peak,Mount Rainier Area,,,,,2.5,2,,,2017-07-21,2,https://www.wta.org/go-hiking/hikes/boundary-peak
Deception Basin,Olympic Peninsula,,,,,4.0,4,,,2017-07-29,7,https://www.wta.org/go-hiking/hikes/deception-basin
Gravel Lake - Ridge Lake,Snoqualmie Region,,,,,4.0,4,47.427680799881855,-121.41360282897949,2019-11-13,82,https://www.wta.org/go-hiking/hikes/gravel-lake
Silver Creek - Mineral City,Central Cascades,,,,,3.8,5,47.82589131580937,-121.51625633239746,2019-09-14,21,https://www.wta.org/go-hiking/hikes/silver-creek-mineral-city
Border Lake BC,North Cascades,,,,,2.5,2,,,2009-09-22,1,https://www.wta.org/go-hiking/hikes/border-lake-bc
Ramon Lakes,North Cascades,,,,,2.67,3,,,2016-07-18,3,https://www.wta.org/go-hiking/hikes/ramon-lakes
Anderson Mountain,Puget Sound and Islands,,,,,2.5,2,,,2018-02-18,6,https://www.wta.org/go-hiking/hikes/anderson-mountain
Mountaineer Ridge,Central Cascades,,,,6920.0,1.5,2,,,2009-10-10,1,https://www.wta.org/go-hiking/hikes/mountaineer-ridge
Military Ridge,Issaquah Alps,,,,,3.5,2,,,2016-11-25,4,https://www.wta.org/go-hiking/hikes/military-ridge
Lake Hozomeen,North Cascades,,,,,2.0,2,,,2019-07-06,15,https://www.wta.org/go-hiking/hikes/hozomeen
Upper Roaring Creek,Central Cascades,3.0,roundtrip,,6050.0,2.5,4,47.751,-120.894,2014-06-29,3,https://www.wta.org/go-hiking/hikes/upper-roaring-creek
Vendovi Island Trails,Puget Sound and Islands,3.0,roundtrip,100.0,,4.0,1,48.6083979256,-122.608795166,2015-08-22,2,https://www.wta.org/go-hiking/hikes/vendovi-island-trails
Wagonwheel Lake,Olympic Peninsula,5.8,roundtrip,3200.0,4100.0,2.93,14,47.5161,-123.327583333,2019-10-12,109,https://www.wta.org/go-hiking/hikes/wagonwheel-lake
Washtucna Coulee - Kahlotus Railroad Grade,Central Washington,8.0,roundtrip,30.0,900.0,3.75,4,46.66354230713318,-118.48362668298381,2017-11-29,2,https://www.wta.org/go-hiking/hikes/washtucna-coulee
Web Mountain,Snoqualmie Region,,,,5335.0,3.67,3,47.43446636760057,-121.63691711844876,2019-11-07,29,https://www.wta.org/go-hiking/hikes/webb-mountain
Verne Samuelson Trail,Olympic Peninsula,3.0,roundtrip,,,3.0,4,48.0946203062,-123.455600739,2019-09-14,3,https://www.wta.org/go-hiking/hikes/verne-samuelson-trail
Wenatchee Crest Snowshoe (Blewett Pass),Central Cascades,6.0,roundtrip,400.0,4500.0,4.11,9,47.3357093669,-120.58036422700002,2019-07-26,86,https://www.wta.org/go-hiking/hikes/wenatchee-crest-snowshoe
Voodoo Peak,North Cascades,,,,5198.0,0.0,0,48.1723013,-121.584729,2011-08-13,1,https://www.wta.org/go-hiking/hikes/voodoo-peak
Wenaha River Trail,Eastern Washington,29.9,one-way,2500.0,4000.0,4.0,1,45.947522,-117.45444700000002,2019-06-16,18,https://www.wta.org/go-hiking/hikes/wenaha-river-trail-3106
Welts-Samish Restoration Site,Puget Sound and Islands,,,30.0,,0.0,0,48.54769155365731,-122.48705707490444,2019-11-04,33,https://www.wta.org/go-hiking/hikes/welts-samish-restoration-site
Wapaloosie Mountain,Eastern Washington,5.0,roundtrip,1850.0,6850.0,3.4,5,48.6750689,-118.5004576,2019-06-22,17,https://www.wta.org/go-hiking/hikes/wapaloosie
Upper Wildcat Lake,Snoqualmie Region,17.0,roundtrip,4000.0,4920.0,3.0,2,47.4085735531,-121.375579834,2019-07-29,35,https://www.wta.org/go-hiking/hikes/upper-wildcat-lake
Horseshoe and Chinook Creek Falls via Upper Siouxon Creek,South Cascades,8.4,roundtrip,700.0,1570.0,2.75,4,45.9466333333,-122.1773,2018-10-07,19,https://www.wta.org/go-hiking/hikes/upper-siouxon-horseshoe-falls
South Tiger Mountain Loop,Issaquah Alps,8.6,roundtrip,1550.0,2028.0,2.75,4,47.4432431429,-121.97622299199998,2019-10-09,44,https://www.wta.org/go-hiking/hikes/south-tiger-mountain-loop
Telford Recreation Area,Central Washington,,,,,0.0,0,47.694454403056525,-118.40764045681351,2019-10-26,2,https://www.wta.org/go-hiking/hikes/telford-recreation-area
Tacoma Pass to Government Meadows,Central Cascades,16.4,one-way,3000.0,5700.0,0.0,0,,,2019-09-18,3,https://www.wta.org/go-hiking/hikes/tacoma-pass-to-government-meadows
Sawtooth Lakes Loop,North Cascades,24.0,roundtrip,4200.0,8000.0,4.33,3,48.2188241789,-120.223594531,2019-08-11,17,https://www.wta.org/go-hiking/hikes/sawtooth-lakes-loop
Tupshin Peak,Central Cascades,,,,8340.0,0.0,0,48.297081,-120.75037700000001,2015-07-31,1,https://www.wta.org/go-hiking/hikes/tupshin-peak
Tumwater Pipeline Trail,Central Cascades,2.4,roundtrip,100.0,1400.0,3.5,6,47.5870666667,-120.70760000000001,2019-10-28,65,https://www.wta.org/go-hiking/hikes/tumwater-pipeline-trail
Seminary Hill Natural Area,Southwest Washington,4.5,roundtrip,320.0,500.0,0.0,0,46.7133556668,-122.94475391499998,2019-08-21,12,https://www.wta.org/go-hiking/hikes/seminary-hill
Saratoga Peak,North Cascades,,,,,0.0,0,,,2014-09-28,1,https://www.wta.org/go-hiking/hikes/saratoga-peak
Turtleback Mountain Preserve: Turtlehead Summit,Puget Sound and Islands,5.7,roundtrip,1295.0,1025.0,0.0,0,48.66508506932015,-122.94817556401927,2019-06-01,14,https://www.wta.org/go-hiking/hikes/turtleback-mountain-preserve-turtlehead-summit
Shellrock Pass,North Cascades,4.0,one-way,,,2.33,3,,,2019-07-11,6,https://www.wta.org/go-hiking/hikes/shellrock-pass
Mount Spokane - Trail 110/140 Loop,Eastern Washington,6.0,roundtrip,1100.0,5000.0,0.0,0,47.885082,-117.08331199999998,2019-01-13,9,https://www.wta.org/go-hiking/hikes/trail-110-140-loop
Sweetgrass Butte,North Cascades,1.5,roundtrip,,,0.0,0,,,2017-07-18,3,https://www.wta.org/go-hiking/hikes/sweetgrass-butte
Saska Peak,Central Cascades,,,8404.0,5254.0,0.0,0,48.11,-120.642,2017-05-28,2,https://www.wta.org/go-hiking/hikes/saska-peak
Tumwater Campground Snowshoe,Central Cascades,,,,2050.0,2.5,2,47.6780277632,-120.732407696,2019-01-21,3,https://www.wta.org/go-hiking/hikes/tumwater-campground-snowshoe
Tower Mountain,North Cascades,25.0,roundtrip,,8444.0,0.0,0,48.58847,-120.70422000000002,2018-07-29,3,https://www.wta.org/go-hiking/hikes/tower-mountain-1
